CreatorLens 20 条演示数据 单品：轻盈Go便携榨汁杯｜合成测试数据，不代表真实账号表现,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄色：用户输入字段｜带 *：硬性必填｜标题/脚本/Hook 至少一项｜完播率/平均播放时长/5秒留存至少推荐一项,,,,,,,,,,,,,,,,,,,,,,,,,,灰色：系统派生字段（公式自动计算）,,,,,
video_id*,publish_date,product_name,category*,price_band,target_audience,title,script_or_subtitle,hook_text,duration_seconds,person_on_camera,scene_demo,product_closeup,before_after,views*,likes,comments,favorites,shares,completion_rate,avg_watch_time_seconds,five_sec_retention,product_clicks,orders,notes,source_url,engagement_rate[系统],product_click_rate[系统],conversion_rate[系统],duration_band[系统],data_quality_score[系统],record_status[系统]
V001,46193,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,上班族,15秒打好一杯草莓果昔,15秒，一杯草莓果昔就打好了。把切好的草莓和牛奶放进杯中，双击启动，随手就能带去上班。今天下单享新人券。,15秒，一杯草莓果昔就打好了,15,是,是,是,否,18200,950,84,530,160,0.43,8.8,0.78,1183,97,效果前置；通勤场景,,0.09472527472527473,0.065,0.08199492814877431,11—20秒,1,可分析
V002,46196,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,健身人群,早上没时间做早餐？,早上赶时间，早餐总是随便对付？前一晚把水果准备好，早上加牛奶双击启动，18秒做完一杯奶昔。点击商品看看容量。,早上赶时间，早餐总是随便对付？,18,是,是,是,否,12600,560,42,270,85,0.33,9.2,0.68,567,43,痛点前置；早餐场景,,0.07595238095238095,0.045,0.07583774250440917,11—20秒,1,可分析
V003,46199,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,学生,不到一百元的宿舍果汁杯,不到一百元，就能在宿舍随时打果汁。杯体轻，充一次电可以用多次，清洗时加水启动即可。现在领券再下单。,不到一百元，就能在宿舍随时打果汁,16,是,是,是,否,15800,820,75,460,140,0.36,8.5,0.72,1185,90,价格利益前置,,0.09462025316455697,0.075,0.0759493670886076,11—20秒,1,可分析
V004,46202,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,宝妈,香蕉牛奶从整块到顺滑,看，整块香蕉和牛奶14秒变成顺滑奶昔。刀头可拆洗，杯盖锁紧后放进包里也方便。喜欢这款口感可以点商品页。,整块香蕉和牛奶14秒变成顺滑奶昔,14,是,是,是,是,22100,1210,105,680,220,0.45,8.4,0.81,1437,120,前后对比明显,,0.10022624434389141,0.06502262443438914,0.08350730688935282,11—20秒,1,可分析
V005,46205,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,通用,六叶刀头和300ml容量介绍,这款榨汁杯采用六叶刀头，容量300毫升，额定功率70瓦，杯身材质轻便。接下来展示按键和充电口，感兴趣可点击查看。,这款榨汁杯采用六叶刀头，容量300毫升,26,否,否,是,否,7200,230,18,80,20,0.22,7.5,0.48,158,10,参数较多；节奏慢,,0.04833333333333333,0.021944444444444444,0.06329113924050633,21—30秒,1,可分析
V006,46208,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,上班族,办公室想喝果汁但不想排队,办公室想喝果汁又不想排队？把水果放进杯里，午休时18秒就能打好。冲水再启动一次就能完成基础清洗。点击商品查看颜色。,办公室想喝果汁又不想排队？,19,是,是,是,否,9800,410,38,190,65,0.31,9.4,0.66,392,28,痛点+场景,,0.07173469387755102,0.04,0.07142857142857142,11—20秒,1,可分析
V007,46211,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,健身人群,健身后的蛋白奶昔这样做,17秒，一杯没有明显结块的蛋白奶昔完成。先加液体再加粉，双击启动，喝完后杯子直接带走。今天有满减券。,17秒，一杯没有明显结块的蛋白奶昔完成,17,是,是,是,否,19500,1070,96,590,190,0.41,9.7,0.77,1131,89,效果证明清晰,,0.0997948717948718,0.058,0.07869142351900972,11—20秒,1,可分析
V008,46214,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,学生,猜猜这一杯成本多少钱,猜猜这杯芒果酸奶在宿舍做要多少钱？放入芒果和酸奶，18秒完成，平均一杯不到店里价格的一半。想看配方可以留言。,猜猜这杯芒果酸奶在宿舍做要多少钱？,18,是,是,是,否,11200,470,45,230,75,0.32,9,0.69,414,27,悬念提问；评论CTA,,0.07321428571428572,0.03696428571428571,0.06521739130434782,11—20秒,1,可分析
V009,46217,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,上班族,经常加班的人可以试试,经常加班、晚饭不规律的人，可以提前准备水果。回到工位加水双击启动，20秒完成一杯果饮。关注我看更多办公室食谱。,经常加班、晚饭不规律的人，可以提前准备水果,20,是,是,否,否,10400,450,51,210,58,0.3,9.6,0.65,385,28,人群点名；关注CTA,,0.0739423076923077,0.03701923076923077,0.07272727272727272,11—20秒,1,可分析
V010,46220,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,学生,一杯奶茶的钱换一只榨汁杯,一杯奶茶的钱，就能把这只便携榨汁杯带回宿舍。果汁、奶昔都能做，杯体小巧不占桌面。新人券今天可用。,一杯奶茶的钱，就能把这只便携榨汁杯带回宿舍,15,是,是,是,否,17300,900,83,510,170,0.35,8.1,0.74,1280,102,低价利益点突出,,0.0961271676300578,0.07398843930635839,0.0796875,11—20秒,1,可分析
